Entity,Types,Author,URL,Publish date
Boron - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/894.html,2022-06-14
Breastfeeding - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/breastfeeding,2022-08-10
Bromelain - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/bromelain,2020-05-01
Butterbur - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/butterbur,2020-07-01
Butyrate - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/butyrate,2022-08-10
Calcium - Consumer ODS (nih.gov),Article,NIH ODS,https://ods.od.nih.gov/factsheets/Calcium-Consumer/,2021-11-17
Calendula - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/235.html,2022-04-10
Caloric restriction - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/caloric-restriction,2022-08-10
Cancer - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/cancer-and-complementary-health-approaches-what-you-need-to-know,2021-10-01
Cannabidiol (CBD) - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/1439.html,2022-07-20
Cannabis (Marijuana) and Cannabinoids - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/cannabis-marijuana-and-cannabinoids-what-you-need-to-know,2019-11-01
Capsicum - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/945.html,2022-07-19
Cardiovascular Disease - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/cardiovascular-disease,2020-01-01
Carotenoids - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/carotenoids,2022-08-10
Cascara Sagrada - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/773.html,2022-02-14
Cat’s Claw - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/cats-claw,2020-05-01
Chamomile - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/chamomile,2020-05-01
Chasteberry - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/chasteberry,2020-07-01
Chelation for Coronary Heart Disease - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/chelation-for-coronary-heart-disease-what-you-need-to-know,2020-01-01
Children and the Use of Complementary Health Approaches - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/children-and-the-use-of-complementary-health-approaches,2017-02-01
Chiropractic - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/chiropractic-in-depth,2019-04-01
Cholesterol Management - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/cholesterol-management-at-a-glance,2019-04-01
Chondroitin Sulfate - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/744.html,2022-01-27
Chromium - Consumer ODS (nih.gov),Article,NIH ODS,https://ods.od.nih.gov/factsheets/chromium-Consumer/,2021-03-22
Chronic Pain - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/chronic-pain-in-depth,2018-09-01
Cinnamon - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/cinnamon,2020-05-01
Clove - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/251.html,2021-10-25
Coconut Oil - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/1092.html,2022-08-02
Coconut Water - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/1261.html,2018-06-12
Cod Liver Oil - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/1040.html,2022-03-23
Coenzyme Q10 - Health Professional Version - Cancer.gov,Article,Cancer.gov,https://www.cancer.gov/about-cancer/treatment/cam/hp/coenzyme-q10-pdq,2022-06-07
Coenzyme Q10 - Mayo Clinic,Article,Mayo Clinic,https://www.mayoclinic.org/drugs-supplements-coenzyme-q10/art-20362602,2020-11-10
Coenzyme Q10 - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/coenzyme-q10,2019-01-01
Cold exposure - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/cold-exposure-therapy,2022-08-09
Collagen Peptides - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/1606.html,2022-03-14
Collagens - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/collagen,2022-08-10
Colloidal Silver - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/colloidal-silver,2017-04-01
Complementary Health Approach - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/are-you-considering-a-complementary-health-approach,2016-09-01
Complementary Health Approaches for Travelers - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/complementary-health-approaches-for-travelers,2017-11-01
Cranberry - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/cranberry,2020-05-01
Creatine - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/creatine,2022-08-10
Creatine - Mayo Clinic,Article,Mayo Clinic,https://www.mayoclinic.org/drugs-supplements-creatine/art-20347591,2021-02-09
Creatine - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/873.html,2021-10-26
Cupping - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/cupping,2018-11-01
Dandelion - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/dandelion,2020-05-01
Deer Velvet - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/808.html,2022-02-15
Depression - FoundMyFitness,Article,FoundMyFitness,https://www.foundmyfitness.com/topics/depression,2022-08-10
Depression - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/depression,2020-02-01
Devil's Claw - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/984.html,2022-05-13
DHEA - Mayo Clinic,Article,Mayo Clinic,https://www.mayoclinic.org/drugs-supplements-dhea/art-20364199,2021-02-12
DHEA - MedlinePlus,Article,MedlinePlus,https://medlineplus.gov/druginfo/natural/331.html,2022-04-02
Diabetes and Dietary Supplements - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/diabetes-and-dietary-supplements,2018-05-01
Dietary Supplements in the Time of COVID-19 - Consumer ODS (nih.gov),Article,NIH ODS,https://ods.od.nih.gov/factsheets/DietarySupplementsInTheTimeOfCOVID19-Consumer/,2022-08-08
Dimethyl Sulfoxide (DMSO) and Methylsulfonylmethane (MSM) for Osteoarthritis - NIH NCCIH,Article,NIH NCCIH,https://www.nccih.nih.gov/health/dimethyl-sulfoxide-dmso-and-methylsulfonylmethane-msm-for-osteoarthritis,2017-09-01
